"algoritmo","tamanho","tipo","status","comparacoes","trocas","tempo_s"
"bolha","10000","aleatoria","ok","49995000","25038974","0.026633024"
"bolha_parada","10000","aleatoria","ok","49980635","25038974","0.030628920"
"insercao","10000","aleatoria","ok","25048964","25048973","0.007726908"
"insercao_binaria","10000","aleatoria","ok","118946","25048973","0.002248287"
"insercao_ternaria","10000","aleatoria","ok","127309","25048973","0.002520323"
"shell","10000","aleatoria","ok","263627","268749","0.000684977"
"selecao","10000","aleatoria","ok","49995000","9990","0.009216547"
"heap","10000","aleatoria","ok","235466","124254","0.000591516"
"quick_centro","10000","aleatoria","ok","172209","33856","0.000519037"
"quick_mediana","10000","aleatoria","ok","184058","35004","0.000505209"
"merge","10000","aleatoria","ok","120502","133616","0.001075268"
"radix","10000","aleatoria","ok","9999","100000","0.000152349"
"bucket","10000","aleatoria","ok","2540574","2550640","0.001029730"
"bolha","10000","crescente","ok","49995000","0","0.009930372"
"bolha_parada","10000","crescente","ok","9999","0","0.000003099"
"insercao","10000","crescente","ok","9999","9999","0.000009537"
"insercao_binaria","10000","crescente","ok","123617","9999","0.000074387"
"insercao_ternaria","10000","crescente","ok","150486","9999","0.000087023"
"shell","10000","crescente","ok","120005","120005","0.000089884"
"selecao","10000","crescente","ok","49995000","0","0.008524656"
"heap","10000","crescente","ok","244460","131956","0.000383615"
"quick_centro","10000","crescente","ok","125439","5904","0.000060081"
"quick_mediana","10000","crescente","ok","137247","5904","0.000067711"
"merge","10000","crescente","ok","69008","133616","0.000753164"
"radix","10000","crescente","ok","9999","100000","0.000179291"
"bucket","10000","crescente","ok","19989","29990","0.000050545"
"bolha","10000","decrescente","ok","49995000","49995000","0.012869358"
"bolha_parada","10000","decrescente","ok","49995000","49995000","0.014713287"
"insercao","10000","decrescente","ok","49995000","50004999","0.015097141"
"insercao_binaria","10000","decrescente","ok","113631","50004999","0.003630400"
"insercao_ternaria","10000","decrescente","ok","75243","50004999","0.003584385"
"shell","10000","decrescente","ok","172578","182565","0.000130415"
"selecao","10000","decrescente","ok","49995000","5000","0.009212971"
"heap","10000","decrescente","ok","226682","116696","0.000426054"
"quick_centro","10000","decrescente","ok","125452","10904","0.000068426"
"quick_mediana","10000","decrescente","ok","137262","10904","0.000085592"
"merge","10000","decrescente","ok","64608","133616","0.000753641"
"radix","10000","decrescente","ok","9999","100000","0.000156879"
"bucket","10000","decrescente","ok","5004999","5024990","0.001885891"
"bolha","1000000","aleatoria","timeout","","",""
"bolha_parada","1000000","aleatoria","timeout","","",""
"insercao","1000000","aleatoria","timeout","","",""
"insercao_binaria","1000000","aleatoria","timeout","","",""
"insercao_ternaria","1000000","aleatoria","timeout","","",""
"shell","1000000","aleatoria","ok","65724076","66226717","0.126871824"
"selecao","1000000","aleatoria","timeout","","",""
"heap","1000000","aleatoria","ok","36794531","19049328","0.111006498"
"quick_centro","1000000","aleatoria","ok","27903893","4852801","0.068959951"
"quick_mediana","1000000","aleatoria","ok","27603809","5016553","0.069190264"
"merge","1000000","aleatoria","ok","18674269","19951424","0.116347075"
"radix","1000000","aleatoria","ok","999999","14000000","0.036098003"
"bucket","1000000","aleatoria","timeout","","",""
"bolha","1000000","crescente","timeout","","",""
"bolha_parada","1000000","crescente","ok","999999","0","0.000366211"
"insercao","1000000","crescente","ok","999999","999999","0.000937462"
"insercao_binaria","1000000","crescente","ok","18951425","999999","0.012098551"
"insercao_ternaria","1000000","crescente","ok","23608530","999999","0.013160944"
"shell","1000000","crescente","ok","18000007","18000007","0.013895988"
"selecao","1000000","crescente","timeout","","",""
"heap","1000000","crescente","ok","37692069","19787792","0.048102140"
"quick_centro","1000000","crescente","ok","19000019","524287","0.007274866"
"quick_mediana","1000000","crescente","ok","20048593","524287","0.007854223"
"merge","1000000","crescente","ok","10066432","19951424","0.088405371"
"radix","1000000","crescente","ok","999999","14000000","0.031106234"
"bucket","1000000","crescente","ok","1999989","2999990","0.003863096"
"bolha","1000000","decrescente","timeout","","",""
"bolha_parada","1000000","decrescente","timeout","","",""
"insercao","1000000","decrescente","timeout","","",""
"insercao_binaria","1000000","decrescente","timeout","","",""
"insercao_ternaria","1000000","decrescente","timeout","","",""
"shell","1000000","decrescente","ok","26357530","27357511","0.017968178"
"selecao","1000000","decrescente","timeout","","",""
"heap","1000000","decrescente","ok","36001436","18333408","0.050829887"
"quick_centro","1000000","decrescente","ok","19000036","1024286","0.008491278"
"quick_mediana","1000000","decrescente","ok","20048610","1024286","0.008160114"
"merge","1000000","decrescente","ok","9884992","19951424","0.086262941"
"radix","1000000","decrescente","ok","999999","14000000","0.033104897"
"bucket","1000000","decrescente","timeout","","",""
